"@timestamp","header.status","header.alternativeIdentifier","header.actionId"
"Feb 2, 2023 @ 13:02:42.544",SUCCESS,QR4TE648859695BRIG3,124440981-ANALYZER_12044
"Feb 2, 2023 @ 13:02:42.100",SUCCESS,QR4OV279889983BRIG3,124440949-ANALYZER_12044
"Feb 2, 2023 @ 13:02:41.956",SUCCESS,QR4QE937886177BRIG3,124440948-ANALYZER_12044
"Feb 2, 2023 @ 13:02:41.882",SUCCESS,QR4QM829968027BRIG3,124440965-ANALYZER_12044
"Feb 2, 2023 @ 13:02:41.539",SUCCESS,QR4QC562540171BRIG3,124440953-ANALYZER_12044
"Feb 2, 2023 @ 13:02:41.103",SUCCESS,QR4QM992307868BRIG3,124440916-ANALYZER_12045
"Feb 2, 2023 @ 13:02:40.958",SUCCESS,QR4TE651558191BRIG3,124440950-ANALYZER_12044
"Feb 2, 2023 @ 13:02:40.540",SUCCESS,QR4LX982983841CNIG3,124440926-ANALYZER_12045
"Feb 2, 2023 @ 13:02:39.957",SUCCESS,QR4OV279889983BRIG3,124440951-ANALYZER_12045
"Feb 2, 2023 @ 13:02:39.881",SUCCESS,QR4QC547762114BRIG3,124440956-ANALYZER_12045
"Feb 2, 2023 @ 13:02:39.143",SUCCESS,QR4TE692922968BRIG3,124440941-ANALYZER_12044
"Feb 2, 2023 @ 13:02:39.101",SUCCESS,QR4NA916896196BRIG3,124440947-ANALYZER_12045
"Feb 2, 2023 @ 13:02:38.956",SUCCESS,QR4OZ583539267BRIG3,124440944-ANALYZER_12045
"Feb 2, 2023 @ 13:02:38.887",SUCCESS,QR4QP031621044BRIG3,124440917-ANALYZER_12044
"Feb 2, 2023 @ 13:02:38.882",SUCCESS,QR4OV372179908BRIG3,124440938-ANALYZER_12045
"Feb 2, 2023 @ 13:02:38.552",SUCCESS,QR4NA878669262BRIG3,124440952-ANALYZER_12045
"Feb 2, 2023 @ 13:02:38.546",SUCCESS,QR4QP007351973BRIG3,124440940-ANALYZER_12044
"Feb 2, 2023 @ 13:02:38.545",SUCCESS,QR4QC269936644BRIG3,124440927-ANALYZER_12044
"Feb 2, 2023 @ 13:02:38.110",SUCCESS,QR4OU221585895BRIG3,124440233-ANALYZER_12045
"Feb 2, 2023 @ 13:02:37.957",SUCCESS,QR4QC572904018BRIG3,124440923-ANALYZER_12045
"Feb 2, 2023 @ 13:02:37.887",SUCCESS,QR4QB876396328BRIG3,124440935-ANALYZER_12044
"Feb 2, 2023 @ 13:02:37.100",SUCCESS,QR4TE635323626BRIG3,124440934-ANALYZER_12045
"Feb 2, 2023 @ 13:02:36.958",SUCCESS,QR4OX098014939BRIG3,124440899-ANALYZER_12045
"Feb 2, 2023 @ 13:02:36.886",SUCCESS,QR4NA912943148BRIG3,124440884-ANALYZER_12044
"Feb 2, 2023 @ 13:02:36.881",SUCCESS,QR4NA916375218BRIG3,124440933-ANALYZER_12045
"Feb 2, 2023 @ 13:02:36.737",SUCCESS,QR4OV278611297BRIG3,124440930-ANALYZER_12045
"Feb 2, 2023 @ 13:02:35.881",SUCCESS,QR4OV371438756BRIG3,124440922-ANALYZER_12044
"Feb 2, 2023 @ 13:02:35.539",SUCCESS,QR4LX982843739CNIG3,124440920-ANALYZER_12045
"Feb 2, 2023 @ 13:02:34.882",SUCCESS,QR4TE659194047BRIG3,124440913-ANALYZER_12044
"Feb 2, 2023 @ 13:02:33.957",SUCCESS,QR4OZ076648254BRIG3,124440897-ANALYZER_12044
"Feb 2, 2023 @ 13:02:32.959",SUCCESS,QR4QP046229364BRIG3,124440892-ANALYZER_12044
"Feb 2, 2023 @ 13:02:32.958",SUCCESS,QR4OV187229534BRIG3,124440854-ANALYZER_12047
"Feb 2, 2023 @ 13:02:32.958",SUCCESS,QR4LE398921769DEIG3,124440831-ANALYZER_12044
"Feb 2, 2023 @ 13:02:32.883",SUCCESS,QR4OZ076648254BRIG3,124440900-ANALYZER_12045
"Feb 2, 2023 @ 13:02:32.792",SUCCESS,QR4TE380389917BRIG3,124440886-ANALYZER_12044
"Feb 2, 2023 @ 13:02:32.110",SUCCESS,QR4NA919634835BRIG3,124440891-ANALYZER_12044
"Feb 2, 2023 @ 13:02:31.958",SUCCESS,QR4QP038753994BRIG3,124440893-ANALYZER_12044
"Feb 2, 2023 @ 13:02:31.958",SUCCESS,QR4OV336575194BRIG3,124440882-ANALYZER_12044
"Feb 2, 2023 @ 13:02:31.552",SUCCESS,QR4OV330187112BRIG3,124440890-ANALYZER_12047
"Feb 2, 2023 @ 13:02:31.103",SUCCESS,QR4TE689904575BRIG3,124440898-ANALYZER_12045
"Feb 2, 2023 @ 13:02:31.100",SUCCESS,QR4OV228708245BRIG3,124440889-ANALYZER_12045
"Feb 2, 2023 @ 13:02:30.957",SUCCESS,QR4QP026279667BRIG3,124440840-ANALYZER_12044
"Feb 2, 2023 @ 13:02:30.881",SUCCESS,QR4QP039414025BRIG3,124440878-ANALYZER_12044
"Feb 2, 2023 @ 13:02:30.143",SUCCESS,QR4TE387043685BRIG3,124440873-ANALYZER_12044
"Feb 2, 2023 @ 13:02:29.958",SUCCESS,QR4LX983426796CNIG3,124440879-ANALYZER_12044
"Feb 2, 2023 @ 13:02:28.958",SUCCESS,QR4LW479442502DEIG3,124440862-ANALYZER_12044
"Feb 2, 2023 @ 13:02:28.957",SUCCESS,QR4TE659300837BRIG3,124440867-ANALYZER_12044
"Feb 2, 2023 @ 13:02:28.552",SUCCESS,QR4TE409822265BRIG3,124440871-ANALYZER_12045
"Feb 2, 2023 @ 13:02:28.142",SUCCESS,QR4QP008770821BRIG3,124440769-ANALYZER_12045
"Feb 2, 2023 @ 13:02:27.959",SUCCESS,QR4NA884780614BRIG3,124440868-ANALYZER_12044
"Feb 2, 2023 @ 13:02:27.958",SUCCESS,QR4TE409822279BRIG3,124440856-ANALYZER_12045
"Feb 2, 2023 @ 13:02:27.885",SUCCESS,QR4OX217676348BRIG3,124440863-ANALYZER_12044
"Feb 2, 2023 @ 13:02:27.883",SUCCESS,QR4OX152468233BRIG3,124440861-ANALYZER_12045
"Feb 2, 2023 @ 13:02:27.110",SUCCESS,QR4QM817672991BRIG3,124440869-ANALYZER_12045
"Feb 2, 2023 @ 13:02:26.104",SUCCESS,QR4NA875277823BRIG3,124440737-ANALYZER_12044
"Feb 2, 2023 @ 13:02:25.881",SUCCESS,QR4TE565704064BRIG3,124440838-ANALYZER_12047
"Feb 2, 2023 @ 13:02:24.957",SUCCESS,QR4TE409826655BRIG3,124440824-ANALYZER_12045
"Feb 2, 2023 @ 13:02:24.540",SUCCESS,QR4QM996877953BRIG3,124440839-ANALYZER_12045
"Feb 2, 2023 @ 13:02:23.882",SUCCESS,QR4QL931340233BRIG3,124440830-ANALYZER_12045
"Feb 2, 2023 @ 13:02:23.552",SUCCESS,QR4TE656889235BRIG3,124440801-ANALYZER_12044
"Feb 2, 2023 @ 13:02:23.110",SUCCESS,QR4NA910721979BRIG3,124440816-ANALYZER_12045
"Feb 2, 2023 @ 13:02:22.544",SUCCESS,QR4QM403234527BRIG3,124440823-ANALYZER_12045
"Feb 2, 2023 @ 13:02:22.143",SUCCESS,QR4QP004187725BRIG3,124440811-ANALYZER_12045
"Feb 2, 2023 @ 13:02:22.111",SUCCESS,QR4QP021357447BRIG3,124440731-ANALYZER_12045
"Feb 2, 2023 @ 13:02:22.100",SUCCESS,QR4TE354246699BRIG3,124440797-ANALYZER_12044
"Feb 2, 2023 @ 13:02:21.957",SUCCESS,QR4OQ818957862BRIG3,124440793-ANALYZER_12045
"Feb 2, 2023 @ 13:02:21.956",SUCCESS,QR4QC287339492BRIG3,124440806-ANALYZER_12047
"Feb 2, 2023 @ 13:02:21.886",SUCCESS,QR4NA917082710BRIG3,124440745-ANALYZER_12044
"Feb 2, 2023 @ 13:02:20.958",SUCCESS,QR4TE691254560BRIG3,124440765-ANALYZER_12044
"Feb 2, 2023 @ 13:02:20.957",SUCCESS,QR4TE354246699BRIG3,124440798-ANALYZER_12045
"Feb 2, 2023 @ 13:02:20.957",SUCCESS,QR4NA915181343BRIG3,124440794-ANALYZER_12044
"Feb 2, 2023 @ 13:02:18.957",SUCCESS,QR4TE648897637BRIG3,124440784-ANALYZER_12045
"Feb 2, 2023 @ 13:02:18.882",SUCCESS,QR4QC517390391BRIG3,124440759-ANALYZER_12044
"Feb 2, 2023 @ 13:02:18.472",SUCCESS,QR4TE577375856BRIG3,124440744-ANALYZER_12044
"Feb 2, 2023 @ 13:02:18.111",SUCCESS,QR4QC520690440BRIG3,124440785-ANALYZER_12044
"Feb 2, 2023 @ 13:02:18.110",SUCCESS,QR4OV360234995BRIG3,124440760-ANALYZER_12044
"Feb 2, 2023 @ 13:02:17.958",SUCCESS,QR4QP017682303BRIG3,124440761-ANALYZER_12044
"Feb 2, 2023 @ 13:02:17.888",SUCCESS,QR4QP039324515BRIG3,124440775-ANALYZER_12044
"Feb 2, 2023 @ 13:02:17.739",SUCCESS,QR4OV284982116BRIG3,124440756-ANALYZER_12044
"Feb 2, 2023 @ 13:02:17.553",SUCCESS,QR4TE648897637BRIG3,124440776-ANALYZER_12044
"Feb 2, 2023 @ 13:02:17.103",SUCCESS,QR4NA916782295BRIG3,124440755-ANALYZER_12044
"Feb 2, 2023 @ 13:02:16.792",SUCCESS,QR4QP021963415BRIG3,124440766-ANALYZER_12044
"Feb 2, 2023 @ 13:02:15.957",SUCCESS,QR4OV387116144BRIG3,124440757-ANALYZER_12044
"Feb 2, 2023 @ 13:02:15.945",SUCCESS,QR4OX235755974BRIG3,124440742-ANALYZER_12044
"Feb 2, 2023 @ 13:02:15.882",SUCCESS,QR4OV299328996BRIG3,124440734-ANALYZER_12044
"Feb 2, 2023 @ 13:02:15.539",SUCCESS,QR4QP048693561BRIG3,124440733-ANALYZER_12044
"Feb 2, 2023 @ 13:02:15.107",SUCCESS,QR4QP062872541BRIG3,124440741-ANALYZER_12044
"Feb 2, 2023 @ 13:02:14.545",SUCCESS,QR4QP062872541BRIG3,124440748-ANALYZER_12045
"Feb 2, 2023 @ 13:02:14.143",SUCCESS,QR4OZ926824327BRIG3,124440723-ANALYZER_12044
"Feb 2, 2023 @ 13:02:13.883",SUCCESS,QR4QB882477913BRIG3,124440626-ANALYZER_12044
"Feb 2, 2023 @ 13:02:13.881",SUCCESS,QR4QC422641041BRIG3,124440727-ANALYZER_12044
"Feb 2, 2023 @ 13:02:13.791",SUCCESS,QR4OV306582157BRIG3,124440747-ANALYZER_12045
"Feb 2, 2023 @ 13:02:13.552",SUCCESS,QR4TE532075525BRIG3,124440729-ANALYZER_12044
"Feb 2, 2023 @ 13:02:13.539",SUCCESS,QR4TE070672578BRIG3,124440670-ANALYZER_12044
"Feb 2, 2023 @ 13:02:12.957",SUCCESS,QR4OQ818952729BRIG3,124440711-ANALYZER_12045
"Feb 2, 2023 @ 13:02:12.957",SUCCESS,QR4TE371657500BRIG3,124440730-ANALYZER_12045
"Feb 2, 2023 @ 13:02:12.883",SUCCESS,QR4TE452875677BRIG3,124440720-ANALYZER_12045
"Feb 2, 2023 @ 13:02:12.472",SUCCESS,QR4TE249664289BRIG3,124440599-ANALYZER_12044
"Feb 2, 2023 @ 13:02:11.883",SUCCESS,QR4NA919805279BRIG3,124440704-ANALYZER_12044
"Feb 2, 2023 @ 13:02:11.882",SUCCESS,QR4QM921581288BRIG3,124440718-ANALYZER_12045
"Feb 2, 2023 @ 13:02:11.100",SUCCESS,QR4QC375798131BRIG3,124440699-ANALYZER_12044
"Feb 2, 2023 @ 13:02:10.945",SUCCESS,QR4TE672342955BRIG3,124440698-ANALYZER_12044
"Feb 2, 2023 @ 13:02:10.892",SUCCESS,QR4QP041959415BRIG3,124440707-ANALYZER_12044
"Feb 2, 2023 @ 13:02:10.891",SUCCESS,QR4TE656952763BRIG3,124440687-ANALYZER_12044
"Feb 2, 2023 @ 13:02:10.792",SUCCESS,QR4QP007070301BRIG3,124440685-ANALYZER_12044
"Feb 2, 2023 @ 13:02:10.540",SUCCESS,QR4TE071589157BRIG3,124440703-ANALYZER_12045
"Feb 2, 2023 @ 13:02:10.099",SUCCESS,QR4QB902923886BRIG3,124440694-ANALYZER_12045
"Feb 2, 2023 @ 13:02:09.958",SUCCESS,QR4QP029662164BRIG3,124440678-ANALYZER_12044
"Feb 2, 2023 @ 13:02:09.882",SUCCESS,QR4OV212874647BRIG3,124440676-ANALYZER_12044
"Feb 2, 2023 @ 13:02:09.792",SUCCESS,QR4QP029459359BRIG3,124440673-ANALYZER_12045
"Feb 2, 2023 @ 13:02:08.882",SUCCESS,QR4TE683709508BRIG3,124440681-ANALYZER_12045
"Feb 2, 2023 @ 13:02:08.743",SUCCESS,QR4TE489156926BRIG3,124440680-ANALYZER_12044
"Feb 2, 2023 @ 13:02:08.539",SUCCESS,QR4QC459135295BRIG3,124440671-ANALYZER_12044
"Feb 2, 2023 @ 13:02:08.472",SUCCESS,QR4QP042650024BRIG3,124440677-ANALYZER_12044
"Feb 2, 2023 @ 13:02:08.104",SUCCESS,QR4QP004749664BRIG3,124440661-ANALYZER_12044
"Feb 2, 2023 @ 13:02:07.960",SUCCESS,QR4TE670305371BRIG3,124440668-ANALYZER_12044
"Feb 2, 2023 @ 13:02:07.959",SUCCESS,QR4TE699410053BRIG3,124440583-ANALYZER_12044
"Feb 2, 2023 @ 13:02:07.959",SUCCESS,QR4TE070672578BRIG3,124440675-ANALYZER_12045
"Feb 2, 2023 @ 13:02:07.945",SUCCESS,QR4QP043146189BRIG3,124440669-ANALYZER_12045
"Feb 2, 2023 @ 13:02:07.882",SUCCESS,QR4QP043146189BRIG3,124440662-ANALYZER_12044
"Feb 2, 2023 @ 13:02:07.552",SUCCESS,QR4TE693009108BRIG3,124440638-ANALYZER_12044
"Feb 2, 2023 @ 13:02:07.100",SUCCESS,QR4QM945440523BRIG3,124440652-ANALYZER_12044
"Feb 2, 2023 @ 13:02:06.736",SUCCESS,QR4QM438101185BRIG3,124440665-ANALYZER_12044
"Feb 2, 2023 @ 13:02:06.552",SUCCESS,QR4IX022012884BRIG3,124440581-ANALYZER_12044
"Feb 2, 2023 @ 13:02:05.957",SUCCESS,QR4QM987533756BRIG3,124440660-ANALYZER_12045
"Feb 2, 2023 @ 13:02:05.100",SUCCESS,QR4TE633351788BRIG3,124440641-ANALYZER_12044
"Feb 2, 2023 @ 13:02:04.883",SUCCESS,QR4TE659384015BRIG3,124440633-ANALYZER_12044
"Feb 2, 2023 @ 13:02:04.792",SUCCESS,QR4QP038888634BRIG3,124440617-ANALYZER_12044
"Feb 2, 2023 @ 13:02:03.957",SUCCESS,QR4QP040008625BRIG3,124440574-ANALYZER_12044
"Feb 2, 2023 @ 13:02:03.552",SUCCESS,QR4OZ927665967BRIG3,124440557-ANALYZER_12044
"Feb 2, 2023 @ 13:02:03.144",SUCCESS,QR4QP043893172BRIG3,124440623-ANALYZER_12044
"Feb 2, 2023 @ 13:02:03.101",SUCCESS,QR4QC422134098BRIG3,124440601-ANALYZER_12045
"Feb 2, 2023 @ 13:02:02.960",SUCCESS,QR4TE675556371BRIG3,124440605-ANALYZER_12044
"Feb 2, 2023 @ 13:02:02.959",SUCCESS,QR4OV031981303BRIG3,124440608-ANALYZER_12044
"Feb 2, 2023 @ 13:02:02.958",SUCCESS,QR4QP005209379BRIG3,124440597-ANALYZER_12044
"Feb 2, 2023 @ 13:02:02.552",SUCCESS,QR4QP036416708BRIG3,124440631-ANALYZER_12045
"Feb 2, 2023 @ 13:02:02.540",SUCCESS,QR4TE036171792BRIG3,124440603-ANALYZER_12044
"Feb 2, 2023 @ 13:02:02.099",SUCCESS,QR4TE610115622BRIG3,124440616-ANALYZER_12045
"Feb 2, 2023 @ 13:02:01.888",SUCCESS,QR4TE633351788BRIG3,124440641-ANALYZER_13827
"Feb 2, 2023 @ 13:02:01.888",SUCCESS,QR4TE060505955BRIG3,124440593-ANALYZER_12044
"Feb 2, 2023 @ 13:02:01.540",SUCCESS,QR4TE021839563BRIG3,124440614-ANALYZER_12045
"Feb 2, 2023 @ 13:02:01.472",SUCCESS,QR4OV278934607BRIG3,124440535-ANALYZER_12044
"Feb 2, 2023 @ 13:02:01.110",SUCCESS,QR4OA060180225BRIG3,124440610-ANALYZER_12045
"Feb 2, 2023 @ 13:02:01.102",SUCCESS,QR4QP037881215BRIG3,124440576-ANALYZER_12044
"Feb 2, 2023 @ 13:02:00.945",SUCCESS,QR4OV196029451BRIG3,124440595-ANALYZER_12045
"Feb 2, 2023 @ 13:02:00.736",SUCCESS,QR4TE466475590BRIG3,124440590-ANALYZER_12044
"Feb 2, 2023 @ 13:02:00.541",SUCCESS,QR4QF038809526BRIG3,124440589-ANALYZER_12044
"Feb 2, 2023 @ 13:01:59.956",SUCCESS,QR4OV340646878BRIG3,124440553-ANALYZER_12044
"Feb 2, 2023 @ 13:01:59.882",SUCCESS,QR4QP032567835BRIG3,124440524-ANALYZER_12045
"Feb 2, 2023 @ 13:01:58.959",SUCCESS,QR4NA912503472BRIG3,124440565-ANALYZER_12044
"Feb 2, 2023 @ 13:01:58.947",SUCCESS,QR4TE655607658BRIG3,124440560-ANALYZER_12044
"Feb 2, 2023 @ 13:01:58.883",SUCCESS,QR4QP011112904BRIG3,124440555-ANALYZER_12044
"Feb 2, 2023 @ 13:01:58.883",SUCCESS,QR4NA925436842BRIG3,124440562-ANALYZER_12044
"Feb 2, 2023 @ 13:01:58.551",SUCCESS,QR4TE651719203BRIG3,124440572-ANALYZER_12044
"Feb 2, 2023 @ 13:01:58.539",SUCCESS,QR4QC338199200BRIG3,124440546-ANALYZER_12044
"Feb 2, 2023 @ 13:01:57.957",SUCCESS,QR4QL982117365BRIG3,124440567-ANALYZER_12044
"Feb 2, 2023 @ 13:01:57.888",SUCCESS,QR4TE664487525BRIG3,124440577-ANALYZER_12044
"Feb 2, 2023 @ 13:01:57.552",SUCCESS,QR4QP008175538BRIG3,124440571-ANALYZER_12044
"Feb 2, 2023 @ 13:01:57.111",SUCCESS,QR4TE668452711BRIG3,124440509-ANALYZER_12044
"Feb 2, 2023 @ 13:01:57.111",SUCCESS,QR4QM956667404BRIG3,124440559-ANALYZER_12044
"Feb 2, 2023 @ 13:01:57.100",SUCCESS,QR4TE691436222BRIG3,124440534-ANALYZER_12044
"Feb 2, 2023 @ 13:01:56.945",SUCCESS,QR4QP044074038BRIG3,124440506-ANALYZER_12044
"Feb 2, 2023 @ 13:01:56.888",SUCCESS,QR4TE409829780BRIG3,124440523-ANALYZER_12044
"Feb 2, 2023 @ 13:01:56.884",SUCCESS,QR4QC530859940BRIG3,124440532-ANALYZER_12045
"Feb 2, 2023 @ 13:01:56.792",SUCCESS,QR4OV281354369BRIG3,124440542-ANALYZER_12044
"Feb 2, 2023 @ 13:01:56.553",SUCCESS,QR4TE557035734BRIG3,124440526-ANALYZER_12044
"Feb 2, 2023 @ 13:01:55.891",SUCCESS,QR4QP006769600BRIG3,124440540-ANALYZER_12044
"Feb 2, 2023 @ 13:01:55.791",SUCCESS,QR4OV188677176BRIG3,124440516-ANALYZER_12044
"Feb 2, 2023 @ 13:01:55.552",SUCCESS,QR4QC537534700BRIG3,124440519-ANALYZER_12044
"Feb 2, 2023 @ 13:01:55.539",SUCCESS,QR4TE589932256BRIG3,124440537-ANALYZER_12044
"Feb 2, 2023 @ 13:01:55.142",SUCCESS,QR4NA918812914BRIG3,124440544-ANALYZER_12045
"Feb 2, 2023 @ 13:01:54.957",SUCCESS,QR4OZ964796578BRIG3,124440539-ANALYZER_12045
"Feb 2, 2023 @ 13:01:54.111",SUCCESS,QR4TE409829776BRIG3,124440531-ANALYZER_12044
"Feb 2, 2023 @ 13:01:53.887",SUCCESS,QR4QP009236318BRIG3,124440493-ANALYZER_12044
"Feb 2, 2023 @ 13:01:53.886",SUCCESS,QR4TE590176418BRIG3,124440517-ANALYZER_12044
"Feb 2, 2023 @ 13:01:53.791",SUCCESS,QR4QM997241925BRIG3,124440495-ANALYZER_12045
"Feb 2, 2023 @ 13:01:53.540",SUCCESS,QR4QB671638680BRIG3,124440510-ANALYZER_12044
"Feb 2, 2023 @ 13:01:53.472",SUCCESS,QR4QP036027288BRIG3,124440512-ANALYZER_12045
"Feb 2, 2023 @ 13:01:53.100",SUCCESS,QR4OV019336063BRIG3,124440505-ANALYZER_12044
"Feb 2, 2023 @ 13:01:53.100",SUCCESS,QR4OV355161544BRIG3,124440518-ANALYZER_12045
"Feb 2, 2023 @ 13:01:52.960",SUCCESS,QR4NL352628134BRIG3,124440494-ANALYZER_12044
"Feb 2, 2023 @ 13:01:52.959",SUCCESS,QR4TE576327749BRIG3,124440503-ANALYZER_12045
"Feb 2, 2023 @ 13:01:52.957",SUCCESS,QR4OZ966399061BRIG3,124440521-ANALYZER_12045
"Feb 2, 2023 @ 13:01:52.883",SUCCESS,QR4QB671638764BRIG3,124440491-ANALYZER_12044
"Feb 2, 2023 @ 13:01:52.553",SUCCESS,QR4QC443270955BRIG3,124440499-ANALYZER_12044
"Feb 2, 2023 @ 13:01:52.552",SUCCESS,QR4TE557257798BRIG3,124440507-ANALYZER_12045
"Feb 2, 2023 @ 13:01:52.552",SUCCESS,QR4TE642676748BRIG3,124440520-ANALYZER_12045
"Feb 2, 2023 @ 13:01:51.888",SUCCESS,QR4QM996898542BRIG3,124440487-ANALYZER_12045
"Feb 2, 2023 @ 13:01:51.539",SUCCESS,QR4QP018444185BRIG3,124440485-ANALYZER_12045
"Feb 2, 2023 @ 13:01:51.110",SUCCESS,QR4OV387012674BRIG3,124440470-ANALYZER_12044
"Feb 2, 2023 @ 13:01:50.891",SUCCESS,QR4OV387012674BRIG3,124440478-ANALYZER_12045
"Feb 2, 2023 @ 13:01:50.891",SUCCESS,QR4TE656889354BRIG3,124440474-ANALYZER_12044
"Feb 2, 2023 @ 13:01:50.792",SUCCESS,QR4QM997672797BRIG3,124440477-ANALYZER_12045
"Feb 2, 2023 @ 13:01:49.889",SUCCESS,QR4TE666414914BRIG3,124440459-ANALYZER_12044
"Feb 2, 2023 @ 13:01:49.884",SUCCESS,QR4QC490617086BRIG3,124440473-ANALYZER_12045
"Feb 2, 2023 @ 13:01:49.143",SUCCESS,QR4OZ213362247BRIG3,124440475-ANALYZER_12045
"Feb 2, 2023 @ 13:01:48.956",SUCCESS,QR4QP032569120BRIG3,124440429-ANALYZER_12045
"Feb 2, 2023 @ 13:01:48.883",SUCCESS,QR4TE666414914BRIG3,124440467-ANALYZER_12045
"Feb 2, 2023 @ 13:01:48.539",SUCCESS,QR4NA917219608BRIG3,124440449-ANALYZER_12044
"Feb 2, 2023 @ 13:01:48.539",SUCCESS,QR4NA918808185BRIG3,124440453-ANALYZER_12047
"Feb 2, 2023 @ 13:01:48.472",SUCCESS,QR4OZ583539267BRIG3,124440424-ANALYZER_12044
"Feb 2, 2023 @ 13:01:48.100",SUCCESS,QR4TE532420688BRIG3,124440455-ANALYZER_12044
"Feb 2, 2023 @ 13:01:47.958",SUCCESS,QR4TE544040917BRIG3,124440465-ANALYZER_12045
"Feb 2, 2023 @ 13:01:47.957",SUCCESS,QR4OO628874447BRIG3,124440415-ANALYZER_12045
"Feb 2, 2023 @ 13:01:47.539",SUCCESS,QR4NA920892730BRIG3,124440427-ANALYZER_12045
"Feb 2, 2023 @ 13:01:47.143",SUCCESS,QR4QP008511889BRIG3,124440457-ANALYZER_12045
"Feb 2, 2023 @ 13:01:47.109",SUCCESS,QR4OV269733686BRIG3,124440446-ANALYZER_12045
"Feb 2, 2023 @ 13:01:46.541",SUCCESS,QR4TE656963094BRIG3,124440437-ANALYZER_12044
"Feb 2, 2023 @ 13:01:46.144",SUCCESS,QR4OV411017820BRIG3,124440436-ANALYZER_12045
"Feb 2, 2023 @ 13:01:46.144",SUCCESS,QR4TE501841411BRIG3,124440444-ANALYZER_12045
"Feb 2, 2023 @ 13:01:46.112",SUCCESS,QR4OO628874447BRIG3,124440406-ANALYZER_12044
"Feb 2, 2023 @ 13:01:45.945",SUCCESS,QR4OV278611297BRIG3,124440403-ANALYZER_12044
"Feb 2, 2023 @ 13:01:45.552",SUCCESS,QR4OZ631883585BRIG3,124440442-ANALYZER_12045
"Feb 2, 2023 @ 13:01:45.539",SUCCESS,QR4QC547762114BRIG3,124440407-ANALYZER_12044
"Feb 2, 2023 @ 13:01:44.946",SUCCESS,QR4OV372179908BRIG3,124440414-ANALYZER_12044
"Feb 2, 2023 @ 13:01:44.792",SUCCESS,QR4TE650904535BRIG3,124440398-ANALYZER_12044
"Feb 2, 2023 @ 13:01:43.956",SUCCESS,QR4NA916375218BRIG3,124440381-ANALYZER_12044
"Feb 2, 2023 @ 13:01:43.896",SUCCESS,QR4OZ929033804BRIG3,124440402-ANALYZER_12045
"Feb 2, 2023 @ 13:01:43.472",SUCCESS,QR4OV220723502BRIG3,124440382-ANALYZER_12044
